"","cells","Class","n","coords.x1","coords.x2","ID","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"100","24621","Seagrasses",4,115.332479175,-33.54255,100,-21,0.103632993996143,0.103632993996143,2.16277720017054e-13,2.16277720017054e-13,-0.375,0.375,1,16
"101","24622","Seagrasses",16,115.33329791875,-33.54374791625,101,-21,0.120637141168118,0.120637141168118,329.209747314453,329.209747314453,-0.5,0.5,1,32
"102","24659","Seagrasses",8,115.42641332,-33.544049999,102,-11,0.120637141168118,0.120637141168118,329.209747314453,329.209747314453,0.5,0.5,1,16
"103","24867","Seagrasses",11,115.334633336364,-33.5458757572727,103,-20,0.12063805013895,0.12063805013895,329.209014892578,329.209014892578,0.125,0.375,2,64
"104","24868","Seagrasses",5,115.33540668,-33.546983334,104,-20,0.12063805013895,0.12063805013895,329.209014892578,329.209014892578,-0.125,0.375,2,32
"105","24904","Seagrasses",1,115.4274,-33.54498333,105,-11,0.0806145668029785,0.0806145668029785,309.998596191406,309.998596191406,0,0.25,2,32
"106","24905","Seagrasses",12,115.428929158333,-33.5463680558333,106,-11,0.0836336016654968,0.0836336016654968,338.33349609375,338.33349609375,-0.25,0.25,1,64
"107","25113","Seagrasses",15,115.336736666667,-33.5487211126667,107,-19,0.120638966560364,0.120638966560364,329.208282470703,329.208282470703,0.5,0.5,1,16
"108","25151","Seagrasses",12,115.431573608333,-33.5484000008333,108,-10,0.103632993996143,0.103632993996143,0,0,0.375,0.375,1,64
"109","25152","Seagrasses",1,115.433,-33.5499,109,-10,0.172853574156761,0.172853574156761,296.721588134766,296.721588134766,-0.125,0.625,2,64
"110","25359","Seagrasses",18,115.338483331579,-33.5511228068421,110,-19,0.120639882981777,0.120639882981777,329.207550048828,329.207550048828,-0.5,0.5,1,64
"111","25397","Seagrasses",10,115.43394,-33.551163333,111,-10,0.123518273234367,0.123518273234367,270,270,-0.375,0.375,1,4
"112","25593","Seagrasses",5,115.311135714286,-33.5541,112,-21,0.120640799403191,0.120640799403191,329.206817626953,329.206817626953,-0.5,0.5,1,64
"113","25604","Seagrasses",7,115.339726185714,-33.55305476,113,-18,0.0836345925927162,0.0836345925927162,338.331787109375,338.331787109375,0.25,0.25,1,64
"114","25605","Seagrasses",9,115.340618511111,-33.5542555566667,114,-18,0.172861546278,0.172861546278,296.720275878906,296.720275878906,-0.25,0.5,3,32
"115","25642","Seagrasses",2,115.4350917,-33.552791665,115,-10,0.123521849513054,0.123521849513054,270,270,-0.375,0.375,1,16
"116","25643","Seagrasses",11,115.436019238462,-33.5538358984615,116,-9,0.123521849513054,0.123521849513054,270,270,0.375,0.375,1,16
"117","25837","Seagrasses",5,115.30993334,-33.556976666,117,-20,0.120641708374023,0.120641708374023,329.206085205078,329.206085205078,0.5,0.5,1,16
"118","25838","Seagrasses",8,115.310396311111,-33.5560111111111,118,-20,0.0836349278688431,0.0836349278688431,338.331237792969,338.331237792969,0.25,0.25,1,64
"119","25850","Seagrasses",14,115.34165104375,-33.556084375,119,-18,0.212299808859825,0.212299808859825,299.218597412109,299.218597412109,-0.875,0.875,2,32
"120","25888","Seagrasses",5,115.43722668,-33.555556666,120,-9,0.0961986035108566,0.0961986035108566,285.623840332031,285.623840332031,0.25,0.25,1,16
"121","25889","Seagrasses",9,115.438027777778,-33.5567314811111,121,-9,0.12352542579174,0.12352542579174,270,270,-0.375,0.375,1,64
"122","26082","Seagrasses",15,115.3090302125,-33.55845729125,122,-20,0.0806214138865471,0.0806214138865471,309.994506835938,309.994506835938,0,0.25,2,32
"123","26095","Seagrasses",5,115.34247334,-33.557646668,123,-17,0.198554128408432,0.198554128408432,321.52734375,321.52734375,-0.375,0.875,2,64
"124","26096","Seagrasses",13,115.343547607143,-33.5590059528571,124,-16,0.252432107925415,0.252432107925415,281.845184326172,281.845184326172,0,0.75,3,16
